phase,epoch,loss,loss_d
ae,0,0.056126225739717484,
ae,1,0.054794035851955414,
ae,2,0.052610039710998535,
ae,3,0.05455383285880089,
ae,4,0.05122102051973343,
ae,5,0.04824164882302284,
ae,6,0.04054081812500954,
ae,7,0.03428081050515175,
ae,8,0.034327395260334015,
ae,9,0.03429242968559265,
ae,10,0.03153848275542259,
ae,11,0.02461317367851734,
ae,12,0.027092892676591873,
ae,13,0.02419271506369114,
ae,14,0.02308514155447483,
ae,15,0.023546868935227394,
ae,16,0.023715995252132416,
ae,17,0.024257907643914223,
ae,18,0.02237369306385517,
ae,19,0.021360736340284348,
ae,20,0.017671015113592148,
ae,21,0.01686374470591545,
ae,22,0.011938050389289856,
ae,23,0.011296622455120087,
ae,24,0.011582756415009499,
ae,25,0.010249522514641285,
ae,26,0.009358898736536503,
ae,27,0.009324413724243641,
ae,28,0.009220032021403313,
ae,29,0.008811252191662788,
ae,30,0.008950116112828255,
ae,31,0.008782691322267056,
ae,32,0.009793051518499851,
ae,33,0.007411979604512453,
ae,34,0.007618955802172422,
ae,35,0.007714462000876665,
ae,36,0.007002184167504311,
ae,37,0.005846322979778051,
ae,38,0.006642485968768597,
ae,39,0.006811794359236956,
ae,40,0.005161397624760866,
ae,41,0.006372950505465269,
ae,42,0.005978809669613838,
ae,43,0.005664186552166939,
ae,44,0.005511172581464052,
ae,45,0.006082300562411547,
ae,46,0.006491585168987513,
ae,47,0.00527131836861372,
ae,48,0.006165402475744486,
ae,49,0.005504740867763758,
ae,50,0.005337758455425501,
ae,51,0.006716760341078043,
ae,52,0.005306650884449482,
ae,53,0.005669184494763613,
ae,54,0.004668651148676872,
ae,55,0.004959237761795521,
ae,56,0.005670358892530203,
ae,57,0.0047659724950790405,
ae,58,0.004790815524756908,
ae,59,0.005323084536939859,
ae,60,0.005549508612602949,
ae,61,0.004768251441419125,
ae,62,0.0042031072080135345,
ae,63,0.004542706534266472,
ae,64,0.004002454690635204,
ae,65,0.0041911727748811245,
ae,66,0.00519692525267601,
ae,67,0.004373627249151468,
ae,68,0.005565259139984846,
ae,69,0.003915978129953146,
ae,70,0.004379189573228359,
ae,71,0.003858641255646944,
ae,72,0.005164227448403835,
ae,73,0.00462688272818923,
ae,74,0.004765139427036047,
ae,75,0.004246894735842943,
ae,76,0.003443647176027298,
ae,77,0.004460326861590147,
ae,78,0.004271498881280422,
ae,79,0.003915812820196152,
ae,80,0.0039448207244277,
ae,81,0.003948620520532131,
ae,82,0.003431211691349745,
ae,83,0.0035064644180238247,
ae,84,0.004240322392433882,
ae,85,0.004236781504005194,
ae,86,0.003342958400025964,
ae,87,0.004415849689394236,
ae,88,0.0035006690304726362,
ae,89,0.0035853032022714615,
ae,90,0.004257912281900644,
ae,91,0.002972061512991786,
ae,92,0.003740679705515504,
ae,93,0.003613125765696168,
ae,94,0.003443218069151044,
ae,95,0.003233088878914714,
ae,96,0.0034807315096259117,
ae,97,0.0035128891468048096,
ae,98,0.0031761990394443274,
ae,99,0.004039915278553963,
ae,100,0.0033423358108848333,
ae,101,0.003101419424638152,
ae,102,0.0032813665457069874,
ae,103,0.0030584060586988926,
ae,104,0.003274528542533517,
ae,105,0.004074799828231335,
ae,106,0.0033888628240674734,
ae,107,0.003298605792224407,
ae,108,0.0032680730801075697,
ae,109,0.003703446825966239,
ae,110,0.0029267766512930393,
ae,111,0.002691947389394045,
ae,112,0.003074571257457137,
ae,113,0.003006759099662304,
ae,114,0.0023339693434536457,
ae,115,0.002436174778267741,
ae,116,0.0022747842594981194,
ae,117,0.0027247213292866945,
ae,118,0.003389957593753934,
ae,119,0.003227595007047057,
ae,120,0.0022432550322264433,
ae,121,0.0026560453698039055,
ae,122,0.002700051059946418,
ae,123,0.002475243527442217,
ae,124,0.003073593368753791,
ae,125,0.002446129685267806,
ae,126,0.0025875132996588945,
ae,127,0.0023590056225657463,
ae,128,0.0026450450532138348,
ae,129,0.0028902555350214243,
ae,130,0.003259373363107443,
ae,131,0.002657088451087475,
ae,132,0.0025392959360033274,
ae,133,0.0022736063692718744,
ae,134,0.0023982946295291185,
ae,135,0.0021514343097805977,
ae,136,0.0025823183823376894,
ae,137,0.0026639148127287626,
ae,138,0.002468925667926669,
ae,139,0.0023637765552848577,
ae,140,0.0025929633993655443,
ae,141,0.0017081263940781355,
ae,142,0.0024853223003447056,
ae,143,0.002423288533464074,
ae,144,0.002021254738792777,
ae,145,0.002144154626876116,
ae,146,0.0021409071050584316,
ae,147,0.0025426014326512814,
ae,148,0.0025365655310451984,
ae,149,0.0019374166149646044,
sup,0,0.03656560927629471,
sup,1,0.02952519990503788,
sup,2,0.025486139580607414,
sup,3,0.026156174018979073,
sup,4,0.019913386553525925,
sup,5,0.021190984174609184,
sup,6,0.014994637109339237,
sup,7,0.013916590251028538,
sup,8,0.012233187444508076,
sup,9,0.010201572440564632,
sup,10,0.0064129396341741085,
sup,11,0.007399776950478554,
sup,12,0.0062663066200912,
sup,13,0.0065622711554169655,
sup,14,0.006907469592988491,
sup,15,0.004271312616765499,
sup,16,0.0033932081423699856,
sup,17,0.003603824879974127,
sup,18,0.003895711852237582,
sup,19,0.0038933849427849054,
sup,20,0.002602675696834922,
sup,21,0.003107482334598899,
sup,22,0.002411110093817115,
sup,23,0.002316929865628481,
sup,24,0.0022812483366578817,
sup,25,0.002300925087183714,
sup,26,0.002875840524211526,
sup,27,0.00224203965626657,
sup,28,0.0027358359657227993,
sup,29,0.0026202909648418427,
sup,30,0.0025707457680255175,
sup,31,0.0019567590206861496,
sup,32,0.0013701182324439287,
sup,33,0.0020848684944212437,
sup,34,0.0019434320274740458,
sup,35,0.0017236672574654222,
sup,36,0.0015667254338040948,
