feature,mean,median,std,min,q1,q3,max,iqr,skewness,kurtosis,n_outliers_iqr,outlier_pct,range
u_q,54.27900454651284,48.938180923461914,44.173233561848434,-25.290929794311523,12.069924831390383,90.03439290099016,133.0369935103849,77.96446806959977,0.31493321356362936,-1.243060985895579,0,0.0,158.3279233046964
u_d,-25.133809392586183,-7.429754544163284,63.09197160095296,-131.53041076660156,-78.69090406457892,1.4702705442905426,131.46978759765625,80.16117460886946,0.1450612111464483,-0.29031599276355635,18872,1.4180773299990381,263.0001983642578
i_q,37.41278234749548,15.774006843566896,92.18187965028761,-293.426792941564,1.0958628470303227,100.6121495121055,301.7078552246094,99.51628666507519,-0.14650455716239597,0.6775002006750555,65631,4.931635928633259,595.1346481661733
i_d,-68.71680961864897,-51.09376297213717,64.93323319205702,-278.0036315917969,-115.40605996337631,-2.9796881675720215,0.0518967024981975,112.42637179580429,-0.7073051136452331,-0.5652809618965828,0,0.0,278.0555282942951
motor_speed,2202.0807277889803,1999.9766845703125,1859.6633503968424,-275.54914411131955,317.1106647331166,3760.639058302808,6000.01513671875,3443.528393569691,0.3864642772503851,-1.1478010386625779,0,0.0,6275.56428083007
torque,31.10603237973444,10.860353946685791,77.13575481089514,-246.46666318909087,-0.1374265290796756,91.59717576635957,261.0057067871094,91.73460229543925,-0.12714097065658372,0.6695155849827321,43461,3.2657407184764837,507.47236997620024
coolant,36.22999484011878,26.90014082914239,21.786148973435203,10.623751273643387,18.69813537597656,49.857486923515886,101.59851208096164,31.159351547539327,1.048115280488769,-0.09900452665382531,2,0.00015028373569298835,90.97476080731825
ambient,24.56525595208175,24.79732676998298,1.9295218592241008,8.78347834400473,23.184804439544678,26.217019039334527,30.714204788208008,3.0322145997898495,-0.34906555898776204,-0.13700084490261277,259,0.019461743772241993,21.93072644420328
pm,58.506775850615576,60.26628701504853,19.00149771397544,20.856956481933594,43.15158201322101,72.00837107800413,113.60662841796876,28.856789064783122,0.03831173970332539,-0.7456537587741736,0,0.0,92.74967193603517
stator_yoke,48.18796486490304,45.62550924113822,19.991003998315392,18.076688766479492,31.99033308029175,61.46082763378182,101.14796436478986,29.470494553490067,0.48100873339409705,-0.6297566941241852,0,0.0,83.07127559831036
stator_tooth,56.87858199679097,56.03634549426285,22.952233065759017,18.133975982666016,38.416011810302734,75.58668178953778,111.94642341392526,37.17066997923504,0.137610098581871,-0.9870961546588917,0,0.0,93.81244743125924
stator_winding,66.34274539496708,65.11012887949082,28.672060878743295,18.5858154296875,42.78795690796095,88.14113714379147,141.36288452148438,45.35318023583052,0.1676655944322248,-0.8996777351737482,0,0.0,122.77706909179688
