profile_id,n_samples,samples,duration_s,duration_min,temp_zagr_min,temp_zagr_mean,temp_zagr_max,temp_zagr_start,temp_zagr_end,temp_delta,stator_winding_max,pm_max,avg_speed,avg_torque,speed_std,torque_std,dynamics_score,avg_temperature,min_temperature,max_temperature,temperature_increase
2,19357,19357,9678.5,161.30833333333334,19.93818426132202,38.65474870580961,68.48407173156738,21.696103457609812,20.012821396191914,48.54588747024536,103.2825164794922,45.98556137084961,100.00021648648394,79.14859507523363,0.02621704967524964,100.30304845395354,47.33392556010559,38.65474870580961,19.93818426132202,68.48407173156738,-1.6832820614178985
3,19248,19248,9624.0,160.4,19.73328733444214,25.69786509338856,31.428401947021484,20.934593772888185,19.858958899974823,11.695114612579346,39.101829528808594,29.01161193847656,99.99606149115368,51.692366571436196,0.02031074525693057,51.66323667323347,23.89094064096247,25.69786509338856,19.73328733444214,31.428401947021484,-1.075634872913362
4,33424,33424,16712.0,278.53333333333336,19.482717037200928,41.55142587929779,88.7813367843628,20.45341011683146,22.6115976134936,69.29861974716187,113.37920379638672,99.3966293334961,2683.072902131606,32.835481605842396,1920.8023672961328,49.20651103516065,361.8189511502121,41.55142587929779,19.482717037200928,88.7813367843628,2.1581874966621406
5,14788,14788,7394.0,123.23333333333333,20.32349443435669,28.77657561070667,37.14942646026611,21.165835849444072,22.835385616620382,16.825932025909424,43.397926330566406,39.93896484375,999.9907676319125,43.519544339337116,0.009399685747340202,50.84051743203961,26.741171607797636,28.77657561070667,20.32349443435669,37.14942646026611,1.66954976717631
6,40388,40388,20194.0,336.56666666666666,19.96329164505005,61.28942841960261,92.6851577758789,22.282790700594585,31.293878734111786,72.72186613082886,121.03433227539062,93.5129623413086,3445.3076717995696,15.345793747756142,1954.0579396666492,65.17179825369219,378.51112789330386,61.28942841960261,19.96329164505005,92.6851577758789,9.0110880335172
7,14651,14651,7325.5,122.09166666666667,20.95491886138916,31.41678793530734,34.15087270736694,21.625816980997723,22.399750582377116,13.195953845977783,39.956058502197266,35.8453483581543,499.58902632085614,84.89023731707209,13.293658137518907,39.54735390144219,21.403513153641445,31.41678793530734,20.95491886138916,34.15087270736694,0.7739336013793938
8,18757,18757,9378.5,156.30833333333334,20.737637042999268,32.55138280474695,40.259252071380615,21.660995431741078,24.990797464052836,19.521615028381348,45.99064254760742,44.285308837890625,1498.0386319588617,53.48654226252284,52.12133160812308,51.44345038406059,37.92132895428915,32.55138280474695,20.737637042999268,40.259252071380615,3.3298020323117576
9,20336,20336,10168.0,169.46666666666667,20.24021863937378,37.98053413230917,46.59267616271973,21.4567023396492,28.6387558221817,26.352457523345947,54.522186279296875,51.110816955566406,2496.962762332479,55.729248946144985,83.22559960620907,50.38099858509169,49.54585423125886,37.98053413230917,20.24021863937378,46.59267616271973,7.182053482532499
10,15256,15256,7628.0,127.13333333333334,19.646732807159424,36.47135496627116,69.62989234924316,20.505327304204304,24.61967503229777,49.98315954208374,93.6765594482422,72.08063507080078,1926.0815697921441,-2.763736376610175,1476.8120366523538,51.957937119182965,288.0968749412497,36.47135496627116,19.646732807159424,69.62989234924316,4.114347728093467
11,7887,7887,3943.5,65.725,19.860082626342773,42.043244774930756,56.476725578308105,20.318965033690134,38.985930955410005,36.61664295196533,74.47181701660156,57.10593032836914,2115.516636268946,47.8144974967594,1688.4471627253329,60.368920969553876,329.6856961526804,42.043244774930756,19.860082626342773,56.476725578308105,18.66696592171987
12,21942,21942,10971.0,182.85,20.293997287750244,35.8629834821237,43.479509353637695,21.376781098047893,26.612643325328825,23.18551206588745,50.05281829833984,47.838409423828125,1998.111380558072,59.12983165178222,58.53443608100923,50.341350669181764,40.53760197070976,35.8629834821237,20.293997287750244,43.479509353637695,5.235862227280933
13,35906,35906,17953.0,299.21666666666664,19.190690517425537,26.66436983109689,32.48845148086548,19.77398147980372,20.301972750822703,13.297760963439941,39.44977951049805,31.87829971313477,249.88636317918196,55.527660531673554,5.1098563484509825,51.67931118185104,25.02200269374786,26.66436983109689,19.190690517425537,32.48845148086548,0.5279912710189834
14,18598,18598,9299.0,154.98333333333332,19.828135013580322,44.14431269854189,54.80523204803467,21.688140110174814,29.992161750793457,34.977097034454346,67.32591247558594,59.170379638671875,2997.064567720748,59.865051109887,89.06310469429124,49.234801245951274,54.937332118873975,44.14431269854189,19.828135013580322,54.80523204803467,8.304021640618643
15,18124,18124,9062.0,151.03333333333333,19.462825775146484,63.84887573966862,87.9431381225586,22.714955838521323,35.85923952658971,68.48031234741211,114.14234924316406,94.61751556396484,3994.913864760251,52.26401398340279,135.35219875702637,47.099803593495594,69.74068939152296,63.84887573966862,19.462825775146484,87.9431381225586,13.144283688068388
16,20645,20645,10322.5,172.04166666666666,20.065804958343506,38.247788590962216,46.78201103210449,20.14598316748937,22.560777632395425,26.716206073760986,59.17143630981445,46.98088836669922,747.0765104574787,92.9722601297964,46.22264406903381,65.51974907935247,40.91906770926931,38.247788590962216,20.065804958343506,46.78201103210449,2.4147944649060555
17,15964,15964,7982.0,133.03333333333333,19.982808589935303,51.85153145292474,60.79421424865723,21.698922669887544,44.54945979118347,40.811405658721924,72.43031311035156,69.58853149414062,4989.845398767328,25.669563296183792,216.3467568400564,24.456409281874205,59.18469650043847,51.85153145292474,19.982808589935303,60.79421424865723,22.85053712129593
18,37732,37732,18866.0,314.43333333333334,19.95777177810669,36.995164787353545,46.47136211395264,21.237239571412406,20.00799563328425,26.513590335845947,64.09081268310547,38.56292343139648,99.92418990429485,100.29387864798898,2.6786559566963226,74.00070292889464,34.96965450529746,36.995164787353545,19.95777177810669,46.47136211395264,-1.2292439381281568
19,10410,10410,5205.0,86.75,20.171586513519287,74.12854679892776,82.87712383270264,22.633646126588186,57.235713346799216,62.70553731918335,102.37501525878906,96.78407287597656,5979.232827209099,39.539144856511996,339.41792308953814,19.43048564953362,78.66654837901969,74.12854679892776,20.171586513519287,82.87712383270264,34.602067220211026
20,43971,43971,21985.5,366.425,19.91865062713623,58.80529401441742,103.4982852935791,20.74150671561559,68.9001570701599,83.57963466644287,125.37872314453124,105.94872283935548,2793.197865519852,53.61487577336388,1935.3016432472398,48.84368789705283,367.14417473686814,58.80529401441742,19.91865062713623,103.4982852935791,48.15865035454432
21,17321,17321,8660.5,144.34166666666667,19.548954010009766,54.92262379122857,82.69036102294922,25.45933436950048,39.306025612354276,63.14140701293945,104.79117584228516,91.50621032714844,4499.958023711733,30.424385922242646,0.02051159173863647,39.081278326880586,40.009280469910934,54.92262379122857,19.548954010009766,82.69036102294922,13.846691242853797
23,11856,11856,5928.0,98.8,20.525196075439453,65.39472207330499,94.26387405395508,23.479372183481853,36.30667797327042,73.73867797851562,124.49134826660156,96.7501220703125,3490.5542352324755,58.65645828294158,175.6246415588727,56.663156477082175,84.34194896478,65.39472207330499,20.525196075439453,94.26387405395508,12.827305789788564
24,15015,15015,7507.5,125.125,19.815804481506348,74.85767728552753,97.82756805419922,23.920807381470997,49.294608314832054,78.01176357269287,123.26490783691406,113.60662841796876,5494.805664180191,37.21424315675394,152.85151300112932,31.643863409757518,63.28730929266393,74.85767728552753,19.815804481506348,97.82756805419922,25.373800933361057
26,16666,16666,8333.0,138.88333333333333,20.704548835754395,65.25550056882913,91.58242797851562,24.48726922273636,32.292937473456064,70.87787914276123,124.39234924316406,95.45230102539062,3496.5998742910065,61.89466956771126,100.7070933727927,56.15078236922871,71.4273724113005,65.25550056882913,20.704548835754395,91.58242797851562,7.805668250719705
27,35361,35361,17680.5,294.675,19.465638637542725,57.445111722334765,101.54319477081299,20.58544565439224,29.0054589509964,82.07755613327026,138.64671325683594,109.33384704589844,2610.4260744529515,74.438601153142,2040.7676517978775,45.66944985343324,384.23934954540664,57.445111722334765,19.465638637542725,101.54319477081299,8.420013296604157
29,21358,21358,10679.0,177.98333333333332,20.219139099121094,61.164783774070585,97.44316101074219,22.949764939149222,40.79407495260239,77.2240219116211,141.36288452148438,98.10128021240234,2875.073319195915,74.5695958783764,2087.0973586966525,60.06032941616974,398.2933020089794,61.164783774070585,20.219139099121094,97.44316101074219,17.844310013453164
30,23863,23863,11931.5,198.85833333333332,19.702898502349854,38.14069194025982,76.1505823135376,21.074144132932027,23.977430653572082,56.447683811187744,114.29571533203124,53.278934478759766,795.905386434911,94.79604636825516,666.6156164515504,63.220980572873906,149.88195308892503,38.14069194025982,19.702898502349854,76.1505823135376,2.903286520640055
31,15587,15587,7793.5,129.89166666666668,20.149957180023193,66.97297642083687,89.49572849273682,22.935987297693888,49.58187611897787,69.34577131271362,112.87326049804688,102.09822845458984,5054.128552454609,51.19395521890974,711.465042570131,20.217867961558365,142.543185915504,66.97297642083687,20.149957180023193,89.49572849273682,26.64588882128398
32,20960,20960,10480.0,174.66666666666666,19.590547561645508,58.61747534072581,93.71509742736816,20.477103730042774,74.6510735352834,74.12454986572266,131.43701171875,88.3455810546875,2957.5944091697424,95.0591427927595,669.8008672180064,50.16864454400517,154.68996557177195,58.61747534072581,19.590547561645508,93.71509742736816,54.17396980524063
36,22609,22609,11304.5,188.40833333333333,19.620229244232178,38.36113597263814,80.93176555633545,22.815569682916006,48.213618437449135,61.31153631210327,133.8389434814453,47.37163543701172,823.0141787209153,62.762927649122275,512.6135101985932,100.2728564137175,141.9074400232201,38.36113597263814,19.620229244232178,80.93176555633545,25.39804875453313
41,16700,16700,8350.0,139.16666666666666,33.876744519423816,71.34831286078933,99.58230521064297,34.532025147919555,34.00718939273819,65.70556069121915,124.76884148627909,94.29486191793532,1734.8371798908504,91.71609528694559,1630.351862795136,59.813523586698416,317.74043999384804,71.34831286078933,33.876744519423816,99.58230521064297,-0.524835755181364
42,16920,16920,8460.0,141.0,27.939082011308297,60.15874569008591,81.7414492907381,28.533272544675206,64.28555696134377,53.8023672794298,101.98815388129658,72.7651136543214,2192.8357266731114,76.78728352571424,987.745994841855,44.01702839938433,194.76041793348472,60.15874569008591,27.939082011308297,81.7414492907381,35.752284416668566
43,8443,8443,4221.5,70.35833333333333,25.615350215997342,53.46571212387817,84.16321452458304,33.93222797169413,25.779140121935658,58.5478643085857,122.11291371627108,69.14049020060897,1627.7487463603964,61.12797269675465,1435.602241101724,75.21320186762763,290.9916832269303,53.46571212387817,25.615350215997342,84.16321452458304,-8.153087849758474
44,26341,26341,13170.5,219.50833333333333,29.591285662673346,60.46246584948325,95.13557428129609,29.931569121390787,81.18427803905611,65.54428861862274,114.16755530959988,84.73188742211002,1970.1786894384563,38.1409052924965,1758.3711304703536,56.352816300603656,335.8954730569705,60.46246584948325,29.591285662673346,95.13557428129609,51.25270891766532
45,17142,17142,8571.0,142.85,30.094447721318026,67.9877931232608,99.80649106376501,30.597252524109255,33.90671322120921,69.71204334244698,114.80859820157116,89.65303692919542,1675.6929885533546,40.917103272729406,1240.301030244716,44.259483434737966,241.77419553623506,67.9877931232608,30.094447721318026,99.80649106376501,3.3094606970999543
46,2180,2180,1090.0,18.166666666666668,90.40773352110419,100.49907421132026,107.06845524665363,93.59093847865735,102.61612912772789,16.660721725549436,127.50475813351343,92.91460536629928,2625.380956479324,-23.616889679428343,1343.595358038475,83.44868801170487,283.04609318291995,100.49907421132026,90.40773352110419,107.06845524665363,9.025190649070538
47,2176,2176,1088.0,18.133333333333333,59.63190129346694,71.31541054864279,78.9833934248161,62.2937370493645,72.69633448545119,19.35149213134916,93.8747774919708,79.31810559877164,2615.7543233071115,-23.67002457706294,1342.5291855369949,83.47375611702282,282.98774565602594,71.31541054864279,59.63190129346694,78.9833934248161,10.402597436086687
48,21983,21983,10991.5,183.19166666666666,51.82195687229107,70.44130243246342,93.69443403393373,53.37456249608554,61.948733831739474,41.872477161642664,127.78312832566957,89.17093967345724,2752.150102422513,15.234065848637945,1503.9839539325592,89.41084364948973,309.9813255663746,70.44130243246342,51.82195687229107,93.69443403393373,8.574171335653936
49,10816,10816,5408.0,90.13333333333334,45.84311539345694,75.25173452242703,94.77242228782511,47.514538821359245,94.45101157822707,48.92930689436817,128.04690925692373,81.91990363337037,2722.786174218754,3.8090362787052072,1622.1042252181253,117.49192030394326,339.83668302708884,75.25173452242703,45.84311539345694,94.77242228782511,46.93647275686782
50,10810,10810,5405.0,90.08333333333333,39.46138046724172,64.78369452177427,84.26019331401449,41.112471604780204,83.04052039570121,44.79881284677277,121.16831244189274,75.85317355311611,2726.642661928338,5.729329086212813,1622.265305538027,120.81606424529241,341.35466535318625,64.78369452177427,39.46138046724172,84.26019331401449,41.928048790921004
51,6261,6261,3130.5,52.175,42.38875604666799,80.07336973528157,99.89930741503503,45.9075061512476,92.49911999972619,57.51055136836703,122.79294821923772,84.59714894379134,2855.316591556371,-29.33188710134432,1497.9766216557339,106.63969680659474,317.4571956692564,80.07336973528157,42.38875604666799,99.89930741503503,46.59161384847859
52,3726,3726,1863.0,31.05,52.35548907307225,71.79861190457677,100.8809383231378,59.95440240549389,54.36923508102423,48.52544925006555,129.5054617641213,78.21761696957871,2664.812358271297,21.20573679310675,1582.960312816666,104.11304365122072,328.8901048162977,71.79861190457677,52.35548907307225,100.8809383231378,-5.5851673244696585
53,32442,32442,16221.0,270.35,29.946111466542007,64.72454759756218,95.3908546912434,33.60622180785332,90.7723275977983,65.4447432247014,114.57176681457288,87.94126464537183,2987.8675110129943,7.134054238098533,1456.274332261526,94.6571398319882,305.7328525547029,64.72454759756218,29.946111466542007,95.3908546912434,57.16610578994497
54,10807,10807,5403.5,90.05833333333334,30.987209974114137,67.32126850012558,83.70899877654477,31.632763692335327,61.463324970215574,52.72178880243064,104.79117415872544,77.04464742515248,2861.61147440308,4.222729701185037,1521.597938831201,98.9815519981735,318.9318254803864,67.32126850012558,30.987209974114137,83.70899877654477,29.830561277880246
55,10807,10807,5403.5,90.05833333333334,31.75687165906656,67.8836809933032,97.80378810444361,32.40106326129655,94.24471074988107,66.04691644537705,117.78656072405558,80.19198944080384,2861.3390468950074,4.239474758666753,1521.5887083170423,98.9946964351819,318.93598862548225,67.8836809933032,31.75687165906656,97.80378810444361,61.843647488584516
56,33123,33123,16561.5,276.025,47.555403633207945,80.96213712698211,106.69936770725462,84.10395124792953,86.2491658283805,59.14396407404668,131.67508607665275,97.55267428945756,2360.8304084968563,4.920972136970924,1291.3381572656153,105.27041430567141,281.2413306008735,80.96213712698211,47.555403633207945,106.69936770725462,2.1452145804509684
57,14403,14403,7201.5,120.025,24.365558395932613,67.38030618856082,100.05226438936032,24.55866403420157,77.88189631436677,75.68670599342771,131.62735004322366,88.63075111510535,2512.731317487884,-21.543261001596278,1703.4092326361879,90.13178580460193,343.43889386337804,67.38030618856082,24.365558395932613,100.05226438936032,53.3232322801652
58,33382,33382,16691.0,278.18333333333334,36.430349624259385,75.9036776338669,107.45853047922671,40.02929201620918,66.85131146335456,71.02818085496733,131.1544042640195,92.9798480596275,3070.307550138249,37.1274404396716,1316.4612283732172,79.17783140719911,274.83919949067706,75.9036776338669,36.430349624259385,107.45853047922671,26.82201944714538
59,7475,7475,3737.5,62.291666666666664,55.31006441843247,80.86888034104541,105.72584831435357,71.14647793501412,58.498699356174484,50.4157838959211,132.72456887492532,92.43740884161018,2714.652075173683,31.618595292537616,1248.084020510703,90.70524172003752,269.77903993840005,80.86888034104541,55.31006441843247,105.72584831435357,-12.647778578839635
60,14543,14543,7271.5,121.19166666666666,36.546070620206855,66.50592702029373,102.02287745156474,37.90786995490025,101.35945753377064,65.47680683135789,129.00123313799924,85.14626120330462,2245.8581096066814,-15.970410235392384,1759.0203945154049,84.11728919153785,353.0465701440002,66.50592702029373,36.546070620206855,102.02287745156474,63.45158757887039
61,14516,14516,7258.0,120.96666666666667,46.69787697515774,73.62588582632904,105.98055453848437,85.73301826127455,73.1591085895519,59.28267756332663,129.66521684728383,92.76439365741376,2248.0652488324513,3.7082759296329244,1868.981428629075,82.53490168974801,370.59686114056893,73.62588582632904,46.69787697515774,105.98055453848437,-12.573909671722646
62,25600,25600,12800.0,213.33333333333334,22.850247852813702,44.78009051209261,82.35227991926294,24.964164392561695,27.940928366448464,59.50203206644924,101.35489367435028,76.26787895485614,894.3402242865089,-2.112488297273079,1645.621034367077,48.00522789253378,313.4603632113049,44.78009051209261,22.850247852813702,82.35227991926294,2.9767639738867686
63,16668,16668,8334.0,138.9,27.081140913047896,65.92607343904854,85.00049620659087,28.666011537978452,82.04053862142523,57.91935529354297,104.79117418121048,71.6360629782701,1946.011938181996,10.078175752894259,1826.5723707698162,70.49238907036701,359.2451102610158,65.92607343904854,27.081140913047896,85.00049620659087,53.37452708344678
64,6250,6250,3125.0,52.083333333333336,28.982486539888562,59.793107615625935,77.11571089385572,30.53094046362589,54.89553649054937,48.13322435396716,95.30914233609413,69.44048678430156,2438.3683163337882,8.506476555821958,1575.783336887675,83.30807717043244,322.8020744514319,59.793107615625935,28.982486539888562,77.11571089385572,24.36459602692348
65,40094,40094,20047.0,334.1166666666667,24.913329595602764,63.9428814336489,102.1414409398883,28.365691803074597,90.7968028292869,77.22811134428554,129.21490935162694,93.0631816822482,2119.7089796102136,-17.436899187819716,1990.8277075461936,71.76394071710888,387.3863375323763,63.9428814336489,24.913329595602764,102.1414409398883,62.43111102621231
66,36476,36476,18238.0,303.96666666666664,38.40869545216152,67.61795581745547,105.41287727030166,51.90813333821464,69.5568765775752,67.00418181814015,128.34171607554546,94.2019658765611,1875.2743936454187,-0.20387381280798098,2020.8231307371157,54.45299453200445,384.99667227419576,67.61795581745547,38.40869545216152,105.41287727030166,17.648743239360556
67,11135,11135,5567.5,92.79166666666667,25.94352853547197,47.46144502761637,63.73379093881276,28.01115393432936,30.48050081074877,37.79026240334079,89.45182995712689,65.74075754929605,2062.67558095,-4.987678345141519,1959.534391189908,72.75556855871142,381.72358550627837,47.46144502761637,25.94352853547197,63.73379093881276,2.469346876419408
68,23331,23331,11665.5,194.425,26.679898648080474,68.28359022805813,101.67482501028229,27.45232387948563,38.61985608037977,74.99492636220182,126.2780049105658,85.99269820610182,2111.6395139316724,-9.069985419642387,1776.755958571607,86.81819591771782,356.7049335408876,68.28359022805813,26.679898648080474,101.67482501028229,11.16753220089414
69,15350,15350,7675.0,127.91666666666667,25.90935903768758,72.91280645043264,96.52515587649908,26.558941865349325,83.4959577424054,70.6157968388115,113.28228368959972,85.30380905872816,2126.045916665084,-9.592365736295214,1778.0489117860477,76.00582387712663,352.1759466982066,72.91280645043264,25.90935903768758,96.52515587649908,56.93701587705607
70,25677,25677,12838.5,213.975,29.865673806908084,57.56295132197096,95.5142058616762,30.304229655040547,32.43528231480704,65.64853205476811,120.62250471298468,76.42954032513936,1350.6732387029567,-4.524575376409368,1760.3732363091844,61.453766914384325,341.61665195285104,57.56295132197096,29.865673806908084,95.5142058616762,2.1310526597664925
71,14656,14656,7328.0,122.13333333333334,23.14120318998007,60.477829221046775,89.29719878075015,28.656068114926875,47.85588086650082,66.15599559077008,104.7911741801138,77.50244311223139,1503.5667348664929,5.409439804958508,1849.6797052973511,70.11411385413454,360.04257065639723,60.477829221046775,23.14120318998007,89.29719878075015,19.199812751573944
72,15301,15301,7650.5,127.50833333333334,32.667162543727336,59.25180430765133,90.85010485227752,36.96010961529513,79.02872864953393,58.18294230855019,104.7911738330896,77.88281727696962,1495.2775990969694,3.0485521066768557,1840.9390958902998,65.79408336820491,356.6572350043707,59.25180430765133,32.667162543727336,90.85010485227752,42.0686190342388
73,16786,16786,8393.0,139.88333333333333,24.34171232827583,65.08342127121867,106.64596697532559,25.364312447155942,47.51645467890369,82.30425464704976,131.59756726480802,88.24325921898165,2133.904151645225,2.181407770040988,1800.8342715466104,83.34446343828287,359.8521431232851,65.08342127121867,24.34171232827583,106.64596697532559,22.15214223174775
74,23761,23761,11880.5,198.00833333333333,49.94595831648175,73.31564242906806,105.1853557805226,72.61215479379113,63.014860681813545,55.23939746404085,129.28341348128097,91.92511591280216,2091.7207293783094,-13.363075043673563,1936.5355513698548,82.62573730706107,382.53800459854324,73.31564242906806,49.94595831648175,105.1853557805226,-9.59729411197759
75,13472,13472,6736.0,112.26666666666667,22.41011813132492,70.69796762649757,107.27115120939001,26.091714813581053,43.35466399796857,84.86103307806509,130.13459413036736,93.67320725908591,2129.9620428556996,-13.323158461317833,1776.5306591696672,70.53337086856894,350.315964099191,70.69796762649757,22.41011813132492,107.27115120939001,17.26294918438752
