temperature_variable,profile_id_min_temperature,min_temperature,profile_id_max_temperature,max_temperature,delta_temperature,profile_id_lowest_avg_temperature,lowest_avg_temperature,profile_id_highest_avg_temperature,highest_avg_temperature
pm,21,20.856956481933594,24,113.60662841796876,92.74967193603517,3,26.285129654932696,46,88.98492912925987
stator_yoke,5,18.076688766479492,58,101.14796436478986,83.07127559831036,3,22.561373835589027,46,96.43842018288554
stator_tooth,4,18.133975982666016,73,111.94642341392526,93.81244743125924,3,24.911177586339853,46,103.10073038677606
stator_winding,4,18.5858154296875,29,141.36288452148438,122.77706909179688,3,29.033779296692668,46,113.4722171463596
