profile_id,segment_id,start_sample,end_sample,start_s,end_s,duration_s,transient_frac,in_train,split,motor_speed_mean,motor_speed_std,torque_mean,torque_std,i_d_mean,i_d_std,i_q_mean,i_q_std,u_d_mean,u_d_std,u_q_mean,u_q_std,motor_speed_slope,torque_slope,is_steady,regime_hint
2,2_0,0,7420,0.0,3710.0,3710.0,0.0,False,test,99.99719965747103,0.029634333363956128,206.0272247197385,11.60034688511521,-122.52741573436997,6.980753471435377,241.58873807722154,13.459316698377677,-9.742552834394266,0.5850476525146394,8.717341539994726,0.24876358542425642,-7.792670103923859e-07,0.00034265672520361097,True,2
2,2_1,7420,19357,3710.0,9678.5,5968.5,0.0019267822736030828,False,test,100.00209173749138,0.02365554313433157,0.2812555458521817,1.8124648403937533,-2.01911448229994,0.8071657054811576,1.1499993830177766,2.2399587110348933,1.4904596786663626,0.12537565087153693,4.139843529489279,0.08053192095192938,-2.1959749760925046e-06,-2.0901093580491943e-05,True,4
3,3_2,0,9650,0.0,4825.0,4825.0,0.0015544041450777201,False,val,100.00095984424334,0.021945557115457547,102.88531984119604,8.129446602348816,-43.24438288437888,3.274803423053475,131.77794118683573,10.32744292177631,-5.358146618574356,0.5332508981303641,7.646023768390399,0.2709337822534526,-3.005978531859671e-07,0.0004069526303031511,True,4
3,3_3,9650,19248,4825.0,9624.0,4799.0,0.010627214002917275,False,val,99.99113659978931,0.01716771663751097,0.2220603562681892,1.3469452975874716,-2.012567354120496,0.4716215401787435,1.1417673228556575,1.7249951051462322,1.4599075817218632,0.10450850092389284,4.181389590555689,0.06149893310384809,6.473854275034809e-07,-2.3605064300065216e-05,True,4
4,4_4,0,3350,0.0,1675.0,1675.0,0.005671641791044776,True,train,5932.3678839474605,546.3141743441925,-0.6881015186567805,0.9308868415061368,-117.2393841880471,11.883183792107896,0.25553516657473935,0.7731454153557666,-8.540140815339427,1.8506802202096502,127.35570399602847,10.305047332330695,0.1193418942351547,0.00019210644648520777,True,3
4,4_5,3350,5510,1675.0,2755.0,1080.0,0.0,True,train,5999.933014368128,0.005319370608090038,43.20086904808327,1.1075894407445668,-156.4358981379756,1.6619541830376376,46.71449490918054,1.128311467018582,-103.44264476740801,2.5239313060483135,77.04929502275255,2.431524968955781,-6.869697980472894e-07,0.0004407877668003575,True,0
4,4_6,5510,6600,2755.0,3300.0,545.0,0.0,True,train,5998.714268563647,29.237467740531475,54.62376325064843,0.9697621953266845,-185.7840940562957,0.9304624417184567,57.16368600337877,0.46522762027047854,-124.50014773027613,0.8366962790968884,35.78831409314357,2.0849458945172596,-0.006700917913573186,0.0005988046093932378,True,0
4,4_7,6600,16640,3300.0,8320.0,5020.0,0.01942231075697211,True,train,2000.8501476394229,35.440026251983674,-0.22050686725545154,2.1998273459339384,-2.0622107696960645,2.0639609530714265,1.1912394432313889,2.4899341784992823,-0.9320220881902365,2.385798439025629,96.29785640762147,1.1860109157924488,-0.0005207093948296262,-9.804249865702416e-06,True,4
4,4_8,16640,21860,8320.0,10930.0,2610.0,0.0036398467432950193,True,train,1999.978119598038,0.006551048737212867,101.77224579295893,0.49601516918304905,-43.507778408152845,0.2513992696614602,132.6051815032959,0.5945721031830555,-85.05849909873758,0.4307042869184821,83.28928393367606,0.22802167940271853,-1.9392896801493407e-07,-6.537646257849899e-05,True,2
4,4_9,21860,23430,10930.0,11715.0,785.0,0.0,True,train,2008.9232788085938,129.40292220962377,175.82263070853654,6.7823580254146965,-128.59794398994202,3.772353283620559,203.65730718138872,7.560786124494145,-120.81975846017242,1.3665283734015605,51.79437814214427,2.0650863274700555,0.03403493695191666,-0.0018871394288157537,True,0
4,4_10,23430,26340,11715.0,13170.0,1455.0,0.0,True,train,4495.03320576776,102.04361844863767,48.84222943938475,1.4157485978011501,-122.1802066301562,4.595766582960886,55.09005223008775,2.2221263558829065,-89.29242494409436,3.6618407135536133,95.50165716610414,1.208065917823812,-0.009459738150401601,-0.00012576933325311114,True,0
4,4_11,26340,33424,13170.0,16712.0,3542.0,0.004234895539243365,True,train,500.3056130347314,10.647172567741787,-0.03742995184965102,0.15059124557486261,-2.0036880704624247,0.10823160472178975,1.0982307082411262,0.038109221942497364,0.23870214625048844,0.1419404267134771,24.546339370785695,0.40666266361317366,-0.0002636092796806525,-7.012519054208199e-06,True,4
5,5_12,0,6240,0.0,3120.0,3120.0,0.0022435897435897434,True,train,999.9913788722112,0.01261037496769424,102.9102509474031,4.719507727193179,-43.40644063485357,1.9399200836039654,132.29876926329274,5.986926331563771,-42.89669472267135,1.9339852458636357,43.51583642470531,0.31025646816054736,-7.35568199528291e-07,0.0001527929454005021,True,2
5,5_13,6240,14788,3120.0,7394.0,4274.0,0.0015208235844642022,True,train,999.9903214293548,0.006025599934724436,0.16460643171758557,0.7274097500358769,-2.007040966656033,0.2447285866424577,1.1220280465730508,0.9346294674307556,-0.32753646355270505,0.31938756369975185,49.84960528986444,0.24230583698284894,-1.5089640583014127e-08,1.0001053411378332e-05,True,4
6,6_14,0,22100,0.0,11050.0,11050.0,0.0028054298642533936,False,test,4995.601247156912,131.85079451754862,48.06796836507806,0.5255320936933122,-135.76390704931717,4.412566403870317,53.750032715862154,0.642470496082078,-97.12457411397637,2.9241870881570247,86.95697464228216,2.26511209559514,0.000997662807146426,-8.904834196299895e-06,True,0
6,6_15,22100,25950,11050.0,12975.0,1925.0,0.0,False,test,3.3863411810231656,74.91949704945304,5.44668543369739,1.3834964669361811,-2.030203883988517,0.6256492265216632,1.0645439640113286,1.5337723944247623,1.4416912873969836,0.49002958979021105,-0.9383810445627608,3.07098899368354,-0.005011629646747882,-8.399145640462205e-05,True,4
6,6_16,25950,31530,12975.0,15765.0,2790.0,0.0,False,test,2498.2242687922653,47.72770500385812,-130.5683877705673,14.362671488794964,-98.55655811097887,34.73285078156283,-151.4228078001289,10.308416736647889,114.00206805813697,3.754435180512464,64.1886135342087,17.308931978400032,0.0018762155267668186,-0.002893474552661147,True,3
6,6_17,31530,33020,15765.0,16510.0,745.0,0.010738255033557046,False,test,2517.296067041999,147.00270669320545,-1.704694985103287,7.683615420905768,-3.3237359441366774,11.116359093666084,0.20976266585315434,8.720584168552831,-0.05836343398230188,8.35253702869751,117.93437561700809,4.3153901780534545,0.06887411828800377,-0.0002633273461327751,True,3
6,6_18,33020,33580,16510.0,16790.0,280.0,0.0,False,test,3979.8929750714983,185.97626742196738,-115.40505211864199,7.400733178675531,-214.7802789381572,16.154467613892496,-119.01255353178297,6.068665869409904,130.55513345514024,7.563047649060604,6.546090205226625,6.0199031187707215,-0.21234278938637374,0.009820918925490753,True,3
6,6_19,33580,34210,16790.0,17105.0,315.0,0.0,False,test,119.4605613466293,154.65442333412423,0.05837107297801782,1.170037375939709,-2.101457501403869,0.9917784760495361,0.9760799348590866,1.2192825911798544,1.5639555316684501,1.043698681438483,4.829007178639609,7.140693385926218,0.07886631739906971,-0.0005717721462262874,True,4
6,6_20,34210,35050,17105.0,17525.0,420.0,0.0,False,test,4482.558252825056,146.34368083794945,82.38661705596107,9.708607779171974,-202.8256915978023,19.003740182638005,84.89608140431699,9.124923607268823,-128.04641404322214,13.64934207621573,20.95323148000808,12.727669943767479,-0.0014786776907704624,0.005295681113036296,True,0
6,6_21,35050,36380,17525.0,18190.0,665.0,0.0,False,test,273.08957649173595,216.21834776371122,0.13866271626397256,1.7470349647328005,-2.214125197274344,2.631728515442669,1.1971488257547966,1.4001625483664508,0.7006315990190085,1.9044020421534507,12.674960805419692,8.533799391502363,0.052084929035564415,-0.00046532407896517796,True,4
6,6_22,36380,37250,18190.0,18625.0,435.0,0.0,False,test,3491.889993601832,97.99844803080035,116.55304208075863,6.532621490478121,-235.66085906631645,8.253315463589358,118.22268677634754,6.801656905109963,-130.9559872682067,3.3978422965634234,-1.6568043260995684,5.142113124368546,-0.047720611453618667,0.000683547985146778,True,0
6,6_23,37250,40388,18625.0,20194.0,1569.0,0.006692160611854685,False,test,500.92292222557285,21.13896056588733,51.442130798135615,4.11941520700405,-15.659454365153461,3.503506087550993,71.00617712542386,4.341078519242196,-12.992718864657302,1.776322822878291,24.801301726419656,0.19654695625654428,-0.0017730246185268066,-2.0757908266947558e-05,True,4
7,7_24,0,12050,0.0,6025.0,6025.0,0.001161825726141079,True,train,499.50152656617996,14.656970103371297,103.18215805735701,4.046244886448906,-43.439052327361836,1.6465653307915282,132.39583792140374,5.102134298018702,-21.986687059788288,0.8943694389962428,23.638488604151856,0.7142034860102237,0.00024556506139890966,5.8974282905091174e-05,True,4
7,7_25,12050,14651,6025.0,7325.5,1300.5,0.0,True,train,499.99439811779877,0.01029646488535586,0.1468136644641475,1.30458205357063,-2.0216721527762527,0.4373989002981926,1.1778266016037269,1.670442532452517,0.34270202353029516,0.3158352288137448,24.61739645550591,0.1078780656610489,-5.715212413187171e-07,-0.00017539200430777074,True,4
8,8_26,0,9760,0.0,4880.0,4880.0,0.0028688524590163933,True,train,1496.2445625954574,72.21105076195776,102.75011245096255,4.980979370893372,-43.40575416667051,2.0235773294595125,132.28907973895184,6.317219006083037,-64.02695486650299,3.2034915464963083,63.07508731356165,3.083661996781827,0.0022944830620834425,0.00010651992796710794,True,2
8,8_27,9760,18757,4880.0,9378.5,4498.5,0.006446593308880738,True,train,1499.984849252051,0.003691060850386325,0.04512345190023159,1.1766684596046475,-2.011084591440059,0.40398489629402284,1.1369187705872177,1.5130442909355752,-0.3734270199691109,0.7793603849082067,73.46716890401862,0.1503335894425529,9.646838523474186e-08,-3.521842603843408e-05,True,4
9,9_28,0,11360,0.0,5680.0,5680.0,0.22984154929577466,False,val,2494.5851319157414,111.29727893440968,100.41471775410776,4.38650604839765,-75.5045615491418,3.3838247496883427,123.16666458653627,5.2802812034542015,-99.91054863070309,4.564769395365845,85.59237070653316,3.7855019920050563,0.002839456558703299,6.813980542464287e-05,True,0
9,9_29,11360,20336,5680.0,10168.0,4488.0,0.39215686274509803,False,val,2499.9718846067813,0.004018236735090314,-0.8245529320253701,0.736569763441685,-2.0108929391877326,0.39591223992628155,1.1210329811123603,0.9183719330977123,-0.820054420706635,0.7891396369988549,119.39763575229203,0.3665970082094954,-1.929673428290662e-07,-8.170815174938817e-06,False,4
10,10_30,0,300,0.0,150.0,150.0,0.0,True,train,1233.914049402419,638.4111266941921,123.53315780917804,42.66347592808114,-60.41394509673118,21.416100387865566,152.98582077622413,52.553794211569006,-64.50340686877568,33.22511028536388,47.62755363331332,22.913503066354252,7.257844290025014,0.2704959203969397,True,2
10,10_31,300,570,150.0,285.0,135.0,0.0,True,train,3120.3216254340277,504.4328508887013,124.92949173538773,13.917440901680177,-188.41176574141892,38.05620587471392,133.005795401114,18.269805665981114,-125.70489366319444,5.630853027094097,32.30724809081466,18.847778153026095,6.4599245995291605,-0.16333533815128984,True,0
10,10_32,570,1470,285.0,735.0,450.0,0.0,True,train,3999.9325648328995,0.42901568805263535,79.50448741488987,0.6656351343506631,-156.50179253472223,1.6924526527763806,85.85503008524577,0.5686519899285388,-114.98261572096082,0.6734758543473047,61.80863174014621,1.4543753315988377,0.00022961470806532442,-0.00025228814315389,True,0
10,10_33,1470,2240,735.0,1120.0,385.0,0.0,True,train,4637.780433872768,371.34972550346794,53.77161851858164,0.93417664503072,-135.46183163531416,13.468506236213575,59.57264689656047,1.7201216557559078,-97.61410316368202,5.4201816346368945,85.58648232794427,7.003860867856756,1.6695564554570574,-0.001658452467059457,True,0
10,10_34,2240,2790,1120.0,1395.0,275.0,0.0,True,train,5576.955403941762,284.64689596978883,53.75286873557351,1.6764581605914644,-167.98608401211825,7.625998274810732,57.35374114990234,2.056960063289401,-113.36028898759322,3.38551356977309,61.75272272976962,6.423583151172635,0.14675491907735244,0.002727947693405655,True,0
10,10_35,2790,3070,1395.0,1535.0,140.0,0.0,True,train,3091.7789707728793,915.6322981466972,75.68272132873535,8.86947246826051,-86.63958992276874,40.816489022603825,92.44106407165528,17.608154962537277,-92.71254399163382,13.05060264792955,83.93112253461565,8.954168621562877,-11.307836800420892,0.10937193990299156,True,2
10,10_36,3070,4780,1535.0,2390.0,855.0,0.0,True,train,1457.3343464455409,117.10051495820512,31.0396836052164,1.3936209435449871,-7.858660305313199,0.6754932222267238,44.00597028453448,1.7445338432021829,-23.762529907449643,2.1542667395066784,69.35098729942277,5.320629990661504,-0.1342292282585006,2.2720212123577312e-05,True,4
10,10_37,4780,5230,2390.0,2615.0,225.0,0.0,True,train,625.4030902777778,136.73108021794846,31.13561457739936,0.8823885753830755,-7.818634115854899,0.029291716661981836,43.83707357194689,1.2964566541122768,-10.18509918583764,2.193244758508225,31.051982714335125,6.372181474496372,-0.921326443302846,-0.0006418319550012358,True,4
10,10_38,5230,5570,2615.0,2785.0,170.0,0.0,True,train,1489.1929635440601,565.2679349213435,-127.29473163380342,8.219796922486392,-56.990651405558864,7.509481370139443,-157.7906779681935,10.276757936415617,71.43802251815796,27.495441676909234,49.57764558231129,19.002216781067748,5.750794532705988,-0.02063033591207599,True,4
