Model,Dataset,profile_id,n_test,MSE,RMSE,MAE,R2,linf
WLS,CLUSTER_AWARE_GAN,26,16606,65.016,8.063,6.606,0.8799,28.92
WLS,CLUSTER_AWARE_GAN,43,8383,56.157,7.494,5.33,0.4566,21.68
WLS,CLUSTER_AWARE_GAN,45,17082,45.205,6.723,4.656,0.7777,19.58
WLS,CLUSTER_AWARE_GAN,56,33063,24.415,4.941,3.964,0.7982,21.82
WLS,CLUSTER_AWARE_GAN,59,7415,49.897,7.064,5.523,0.5733,19.53
WLS,CLUSTER_AWARE_GAN,65,40034,36.028,6.002,4.171,0.8432,62.1
HistGB,CLUSTER_AWARE_GAN,2,19297,37.073,6.089,4.827,0.3473,13.89
HistGB,CLUSTER_AWARE_GAN,6,40328,67.666,8.226,7.029,0.6507,19.38
HistGB,CLUSTER_AWARE_GAN,12,21882,30.74,5.544,4.43,0.2172,13.2
HistGB,CLUSTER_AWARE_GAN,14,18538,38.655,6.217,4.831,0.5607,18.98
HistGB,CLUSTER_AWARE_GAN,20,43911,25.872,5.086,4.215,0.9288,20.37
HistGB,CLUSTER_AWARE_GAN,26,16606,12.903,3.592,2.439,0.9762,19.87
HistGB,CLUSTER_AWARE_GAN,43,8383,45.946,6.778,5.234,0.5554,21.64
HistGB,CLUSTER_AWARE_GAN,45,17082,64.663,8.041,6.47,0.6821,25.83
HistGB,CLUSTER_AWARE_GAN,56,33063,45.799,6.768,5.703,0.6215,18.48
HistGB,CLUSTER_AWARE_GAN,59,7415,78.29,8.848,7.749,0.3305,19.17
HistGB,CLUSTER_AWARE_GAN,65,40034,22.705,4.765,3.742,0.9012,15.31
OLS,HYBRID_AUG,2,19297,134.032,11.577,8.854,-1.3597,24.86
OLS,HYBRID_AUG,6,40328,31.493,5.612,4.315,0.8374,21.6
OLS,HYBRID_AUG,12,21882,47.976,6.927,5.636,-0.2217,12.92
OLS,HYBRID_AUG,14,18538,45.878,6.773,6.204,0.4786,19.57
OLS,HYBRID_AUG,20,43911,48.633,6.974,5.29,0.8662,21.11
OLS,HYBRID_AUG,26,16606,49.259,7.018,5.523,0.909,28.15
OLS,HYBRID_AUG,43,8383,54.633,7.391,5.023,0.4713,20.04
OLS,HYBRID_AUG,45,17082,42.298,6.504,4.449,0.792,20.85
OLS,HYBRID_AUG,56,33063,22.19,4.711,3.614,0.8166,18.03
OLS,HYBRID_AUG,59,7415,39.973,6.322,4.419,0.6581,18.01
OLS,HYBRID_AUG,65,40034,32.597,5.709,3.944,0.8582,68.38
