K,inertia,silhouette
2,16525.0449321193,0.2531224954624628
3,14550.100133978369,0.2196561044977608
4,12990.08692781378,0.21458269469368305
5,11943.16215983019,0.2122540698490534
6,11185.242590672791,0.19544905629411657
7,10627.882532665719,0.18522811039492945
8,10151.97264303235,0.19041171038283333
9,9719.407307007692,0.17498121683721807
10,9352.234529161924,0.17362975746958084
