segment_id,profile_id,in_train,label_kmeans,label_gmm,label_hdbscan,label_kmedoids_dtw
2_0,2,False,1,0,-1,0
2_1,2,False,1,0,-1,1
3_2,3,False,1,0,-1,0
3_3,3,False,1,0,-1,1
4_4,4,True,1,0,-1,0
4_5,4,True,1,0,-1,0
4_6,4,True,1,0,-1,0
4_7,4,True,1,0,-1,1
4_8,4,True,1,0,-1,0
4_9,4,True,1,0,-1,0
4_10,4,True,1,0,-1,0
4_11,4,True,1,0,2,1
5_12,5,True,1,0,-1,0
5_13,5,True,1,0,-1,1
6_14,6,False,1,0,-1,0
6_15,6,False,1,0,2,1
6_16,6,False,1,2,-1,1
6_17,6,False,1,0,-1,1
6_18,6,False,1,2,-1,1
6_19,6,False,1,0,2,1
6_20,6,False,1,0,-1,0
6_21,6,False,1,0,2,1
6_22,6,False,1,0,-1,0
6_23,6,False,1,0,2,1
7_24,7,True,1,0,-1,0
7_25,7,True,1,0,2,1
8_26,8,True,1,0,-1,0
8_27,8,True,1,0,-1,1
9_28,9,False,1,0,-1,0
9_29,9,False,1,0,-1,1
10_30,10,True,1,2,-1,0
10_31,10,True,1,1,-1,0
10_32,10,True,1,0,1,0
10_33,10,True,1,1,-1,0
10_34,10,True,1,1,1,0
10_35,10,True,1,2,-1,0
10_36,10,True,1,0,2,1
10_37,10,True,1,1,2,1
10_38,10,True,1,1,-1,1
10_39,10,True,1,1,-1,1
10_40,10,True,1,1,-1,1
10_41,10,True,1,0,-1,1
11_42,11,True,0,2,-1,0
11_43,11,True,0,2,-1,0
11_44,11,True,1,0,-1,1
12_45,12,False,1,0,-1,0
12_46,12,False,1,0,-1,1
13_47,13,True,1,0,-1,0
13_48,13,True,1,0,-1,1
14_49,14,False,1,0,-1,0
14_50,14,False,1,0,-1,1
15_51,15,True,1,0,-1,0
15_52,15,True,1,0,-1,1
16_53,16,True,1,0,-1,0
16_54,16,True,1,0,2,1
17_55,17,True,1,0,-1,0
17_56,17,True,1,0,-1,1
18_57,18,False,1,0,-1,0
18_58,18,False,1,0,-1,1
19_59,19,False,1,0,-1,0
19_60,19,False,1,0,-1,0
20_61,20,False,1,0,-1,0
20_62,20,False,1,0,1,0
20_63,20,False,1,0,1,0
20_64,20,False,1,0,-1,0
20_65,20,False,1,0,2,1
20_66,20,False,1,0,-1,0
20_67,20,False,1,0,-1,1
20_68,20,False,1,0,-1,0
20_69,20,False,1,0,-1,0
20_70,20,False,1,0,-1,0
20_71,20,False,1,0,-1,0
20_72,20,False,1,0,2,1
