K,DTW_silhouette,mean_intra_DTW
2,0.28578996658325195,32.27459716796875
3,0.25417405366897583,28.5174617767334
4,0.25818485021591187,26.26007843017578
5,0.25172504782676697,24.93655014038086
6,0.2398729920387268,23.231481552124023
7,0.21484790742397308,23.053009033203125
8,0.21283012628555298,23.355854034423828
9,0.18078088760375977,22.291040420532227
10,0.1794682890176773,22.934341430664062
