span,mediana,q10,q90,span_min
60,0.9701757955442921,0.7396516975922938,0.9954254454829792,0.5
120,0.9811232286855692,0.8321270097071192,0.999029543900678,1.0
360,0.9878521473485656,0.9205506052980813,1.0306037578936555,3.0
3360,0.9896618084929851,0.9427758179265717,1.1289662846033268,28.0
