Model,Dataset,profile_id,n_test,RMSE,MAE,R2,nRMSE
Ridge,REAL_ONLY,2,256,9.116263191551498,7.265336036682129,-0.4140787124633789,0.39751876530059066
Ridge,REAL_ONLY,6,1280,10.82886726070194,8.612783432006836,-0.17711329460144043,0.1566346112333855
Ridge,REAL_ONLY,12,256,8.468140076917994,6.952849388122559,-0.8017946481704712,0.35799114313134517
Ridge,REAL_ONLY,14,256,8.049346366551196,7.589722633361816,0.27612221240997314,0.22391583130577997
Ridge,REAL_ONLY,20,2304,10.143566298687034,8.072328567504883,0.7400409579277039,0.12312735221722135
Ridge,REAL_ONLY,26,256,21.982219793745738,18.206323623657227,0.12148362398147583,0.30751582300321656
Ridge,REAL_ONLY,43,1280,10.081268813795022,7.908329963684082,0.17559880018234253,0.24579568986485995
Ridge,REAL_ONLY,45,1792,11.420312526722192,8.765490531921387,0.5168026685714722,0.18056481310958572
Ridge,REAL_ONLY,56,8960,8.187452942225216,7.13471794128418,0.4947645664215088,0.18992741564945748
Ridge,REAL_ONLY,59,2048,13.86393337699084,12.073883056640625,-0.628821849822998,0.30355698668835795
Ridge,REAL_ONLY,65,6144,10.478582063803819,8.530826568603516,0.32773488759994507,0.15682630490032212
RandomForest,REAL_ONLY,2,256,10.425517805307758,9.22459602355957,-0.8494182825088501,0.4546094028336119
RandomForest,REAL_ONLY,6,1280,10.087289165576694,8.134500503540039,-0.021412372589111328,0.1459080233241707
RandomForest,REAL_ONLY,12,256,2.1375688329845826,1.8005176782608032,0.8851927518844604,0.0903658540235903
RandomForest,REAL_ONLY,14,256,13.018588348132258,9.880212783813477,-0.8935283422470093,0.3621496578297647
RandomForest,REAL_ONLY,20,2304,12.915877845221955,10.83627700805664,0.5785253047943115,0.15677896647149583
RandomForest,REAL_ONLY,26,256,9.642356778842416,7.967733860015869,0.8309663534164429,0.13488980222916366
RandomForest,REAL_ONLY,43,1280,15.653884922254274,12.819903373718262,-0.9877076148986816,0.38166400624746316
RandomForest,REAL_ONLY,45,1792,14.19950513380385,11.451733589172363,0.2530096173286438,0.22450620197429774
RandomForest,REAL_ONLY,56,8960,9.781318639934879,8.281898498535156,0.27890753746032715,0.2269009158325366
RandomForest,REAL_ONLY,59,2048,13.985582284653733,12.635636329650879,-0.6575313806533813,0.3062205436198536
RandomForest,REAL_ONLY,65,6144,11.438661276642376,9.922014236450195,0.1989014744758606,0.17119520275733086
KNN,REAL_ONLY,2,256,7.611445902989185,6.004878044128418,0.014233171939849854,0.3319005291896972
KNN,REAL_ONLY,6,1280,12.518834077702246,9.84445858001709,-0.5731855630874634,0.18107920816170783
KNN,REAL_ONLY,12,256,2.638990449345325,2.335003137588501,0.8250133991241455,0.11156348372754771
KNN,REAL_ONLY,14,256,26.25673276752079,19.65994644165039,-6.702387809753418,0.7304069022851803
KNN,REAL_ONLY,20,2304,17.21036476293973,13.582114219665527,0.25165170431137085,0.20890745735330027
KNN,REAL_ONLY,26,256,9.599663219902398,6.265369892120361,0.8324599266052246,0.13429254931123447
KNN,REAL_ONLY,43,1280,19.60503095558717,16.004318237304688,-2.1177642345428467,0.477998573151475
KNN,REAL_ONLY,45,1792,18.61777432981971,14.542831420898438,-0.28417468070983887,0.2943627798726453
KNN,REAL_ONLY,56,8960,12.43743497745252,10.339883804321289,-0.16589057445526123,0.28851584238036737
KNN,REAL_ONLY,59,2048,14.405385684484466,12.775598526000977,-0.7585326433181763,0.31541232574898886
KNN,REAL_ONLY,65,6144,11.371800234623008,9.587075233459473,0.20823925733566284,0.17019453586386796
HistGB,REAL_ONLY,2,256,8.70417382103197,7.777553558349609,-0.28912484645843506,0.3795494225643877
HistGB,REAL_ONLY,6,1280,10.430210149006655,8.254254341125488,-0.09203946590423584,0.15086821847941542
HistGB,REAL_ONLY,12,256,4.188515383468672,3.4828901290893555,0.5591920614242554,0.17706974572117665
HistGB,REAL_ONLY,14,256,7.834765634737872,6.171707630157471,0.31420230865478516,0.21794664812516232
HistGB,REAL_ONLY,20,2304,12.150638491333298,10.348148345947266,0.6269888877868652,0.14749013326606555
HistGB,REAL_ONLY,26,256,9.346579234992666,7.865739345550537,0.8411774635314941,0.13075208203182925
HistGB,REAL_ONLY,43,1280,14.466029922840463,12.446219444274902,-0.6974887847900391,0.35270240980229994
HistGB,REAL_ONLY,45,1792,12.101690480076986,9.901792526245117,0.4574238657951355,0.19133797562301239
HistGB,REAL_ONLY,56,8960,9.542173635904657,8.041476249694824,0.3137366771697998,0.22135337951062467
HistGB,REAL_ONLY,59,2048,14.058440169173618,12.62055778503418,-0.6748462915420532,0.3078157994018852
HistGB,REAL_ONLY,65,6144,11.221135387942311,9.668012619018555,0.22908031940460205,0.16793963047309698
Ridge,CLUSTER_AWARE_CLASSICAL,2,256,8.744553533011231,6.989206314086914,-0.301113486289978,0.3813101981049694
Ridge,CLUSTER_AWARE_CLASSICAL,6,1280,10.999314026684445,8.711334228515625,-0.2144606113433838,0.159100045732019
Ridge,CLUSTER_AWARE_CLASSICAL,12,256,7.473737639426375,5.774585723876953,-0.4034757614135742,0.315952718861469
Ridge,CLUSTER_AWARE_CLASSICAL,14,256,7.995448486650736,7.6423444747924805,0.2857838273048401,0.2224165060147624
Ridge,CLUSTER_AWARE_CLASSICAL,20,2304,10.088841428752447,8.032835006713867,0.7428383827209473,0.12246307614931122
Ridge,CLUSTER_AWARE_CLASSICAL,26,256,22.5658568529496,18.460159301757812,0.0742143988609314,0.31568049573782897
Ridge,CLUSTER_AWARE_CLASSICAL,43,1280,10.237258062426616,8.014487266540527,0.14988923072814941,0.24959892988227103
Ridge,CLUSTER_AWARE_CLASSICAL,45,1792,11.600704276968692,8.933754920959473,0.5014171600341797,0.1834169594579063
Ridge,CLUSTER_AWARE_CLASSICAL,56,8960,7.946353330301894,6.903200626373291,0.5240822434425354,0.18433453755540172
Ridge,CLUSTER_AWARE_CLASSICAL,59,2048,14.06256835920885,12.263050079345703,-0.6758300065994263,0.30790618795854485
Ridge,CLUSTER_AWARE_CLASSICAL,65,6144,10.395251627964155,8.45760440826416,0.3383846879005432,0.1555791510145297
RandomForest,CLUSTER_AWARE_CLASSICAL,2,256,7.103871925780378,5.5826826095581055,0.14132243394851685,0.30976753714250116
RandomForest,CLUSTER_AWARE_CLASSICAL,6,1280,9.374064894770422,7.317634582519531,0.1179196834564209,0.13559156051320131
RandomForest,CLUSTER_AWARE_CLASSICAL,12,256,2.2874301128446923,1.933742642402649,0.8685305118560791,0.09670124885656912
RandomForest,CLUSTER_AWARE_CLASSICAL,14,256,12.755317327185063,9.158318519592285,-0.8177181482315063,0.35482601354492194
RandomForest,CLUSTER_AWARE_CLASSICAL,20,2304,13.81643220329058,11.960168838500977,0.517702043056488,0.16771031648899626
RandomForest,CLUSTER_AWARE_CLASSICAL,26,256,9.161535410568556,7.919166088104248,0.8474039435386658,0.12816344883220887
RandomForest,CLUSTER_AWARE_CLASSICAL,43,1280,16.93646665003922,14.116424560546875,-1.3267719745635986,0.4129351752254769
RandomForest,CLUSTER_AWARE_CLASSICAL,45,1792,13.331810355626818,10.569097518920898,0.34151357412338257,0.21078721266545897
RandomForest,CLUSTER_AWARE_CLASSICAL,56,8960,10.289863665301318,8.687358856201172,0.20197701454162598,0.2386978254564208
RandomForest,CLUSTER_AWARE_CLASSICAL,59,2048,14.048257761821503,12.800430297851562,-0.6724209785461426,0.3075928510647148
RandomForest,CLUSTER_AWARE_CLASSICAL,65,6144,10.529034027685178,8.874329566955566,0.3212457299232483,0.157581387508093
KNN,CLUSTER_AWARE_CLASSICAL,2,256,6.779966733957787,5.304483413696289,0.21784108877182007,0.29564350526427563
KNN,CLUSTER_AWARE_CLASSICAL,6,1280,11.97582862232949,9.499353408813477,-0.43967127799987793,0.17322488264895738
KNN,CLUSTER_AWARE_CLASSICAL,12,256,2.7055408068321722,2.377027988433838,0.816076397895813,0.11437690418778022
KNN,CLUSTER_AWARE_CLASSICAL,14,256,25.86284436696784,20.206790924072266,-6.47302770614624,0.7194497581103413
KNN,CLUSTER_AWARE_CLASSICAL,20,2304,16.494355132005104,13.735855102539062,0.31262415647506714,0.20021619755146688
KNN,CLUSTER_AWARE_CLASSICAL,26,256,8.242486480063127,6.4165239334106445,0.8764839768409729,0.1153065994832176
KNN,CLUSTER_AWARE_CLASSICAL,43,1280,19.963930028861192,16.345317840576172,-2.232959747314453,0.486749043646472
KNN,CLUSTER_AWARE_CLASSICAL,45,1792,18.363461978609692,14.15615177154541,-0.24933159351348877,0.2903418862184437
KNN,CLUSTER_AWARE_CLASSICAL,56,8960,12.745151570295455,10.371020317077637,-0.2242952585220337,0.29565405955773916
KNN,CLUSTER_AWARE_CLASSICAL,59,2048,14.515059444714437,12.84938907623291,-0.7854113578796387,0.31781368150199935
KNN,CLUSTER_AWARE_CLASSICAL,65,6144,11.338267953723342,9.613675117492676,0.212901771068573,0.16969267944127625
