Dataset,dRMSE_K,CI_low,CI_high,profile_z_poprawa,n_profili,istotny
CLUSTER_AWARE_CLASSICAL,0.0817,-0.3594,0.54,5,11,False
CLUSTER_AWARE_GAN,-0.398,-0.9354,0.1827,8,11,False
GLOBAL_AUG,0.0077,-0.365,0.3652,5,11,False
GLOBAL_GAN,-0.1105,-0.9217,0.7835,6,11,False
HYBRID_AUG,-0.1789,-0.5461,0.1317,6,11,False
