Model,A_REAL_ONLY,B_GLOBAL_AUG,C_CLUSTER_AWARE_CLASSICAL,D_CLUSTER_AWARE_GAN
Ridge,10.232043657414025,10.062030662822009,10.19301526142431,10.296603440913591
RandomForest,11.610547998656289,11.491173715694051,11.5827228925021,11.40477569667226
KNN,13.929821687694949,13.480431396644859,13.908654440130466,13.810841180262893
HistGB,11.11149343044772,11.040446049621789,11.055853447236778,10.887541456176455
